URL                                                                                                                         , Product Title                                                                   , Nutrition and caloric content
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-jd-chicken-dry                                              , j/d Dry Dog Food Original                                                       , 3618 kcal/kg (362 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-weight-with-chicken-and-vegetables-canned                       , Perfect Weight Wet Dog Food with Chicken & Vegetables                           , 310 kcal / 12.8 oz (363 g) can
https://www.hillspet.co.uk/dog-food/pd-kd-plus-mobility-canine-chicken-and-vegetable-stew-canned                            , k/d + Mobility Stew for Dogs                                                    , 351.5 kcal (354 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-id-with-chicken-dry                                         , i/d Dog Food                                                                    , 3566 kcal/kg (357 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-light-with-chicken-dry                                     , Light Adult Medium Breed Dry Dog Food with Chicken                              , 3128 kcal/kg (313 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-formula-savoury-beef-canned                                , Adult Wet Dog Food with Beef                                                    , 331.5 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-healthy-mobility-mini-with-chicken-dry                     , Healthy Mobility Adult Small & Mini Breed Dry Dog Food with Chicken             , 3677 kcal/kg (368 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-senior-11-plus-small-and-miniature-original-dry                  , Senior Small & Mini Breed Dry Dog Food with Chicken                             , 3710 kcal/kg (371 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-small-and-miniature-light-original-dry                     , Light Adult Small & Mini Breed Dry Dog Food with Chicken                        , 3132 kcal/kg (313 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-advanced-fitness-med-chicken-dry                           , Adult Medium Breed Dry Dog Food with Chicken                                    , 3724 kcal/kg (372 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-perfect-weight-mini-with-chicken-dry                       , Perfect Weight Adult Small & Mini Breed Dry Dog Food with Chicken               , 3181 kcal/kg (318 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-id-low-fat-dry                                              , i/d Low Fat Dog Food                                                            , 3345 kcal/kg (335 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-small-and-miniature-dry                      , Mature Adult Small & Mini Breed Dry Dog Food with Chicken                       , 3684 kcal/kg (368 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-rd-canned                                                   , r/d Weight Reduction Dog Food                                                   , 282 kcal/can
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-puppy-dry                                                       , Multi-Benefit Puppy Medium Dry Food                                             , 3792 kcal/kg (379 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-cd-multicare-canned                                         , c/d Multicare Wet Dog Food                                                      , 457 kcal/can
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-small-and-miniature-chicken-turkey-dry                     , Adult Small & Mini Breed Dry Dog Food with Chicken                              , 3731 kcal/kg (373 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-medium-savoury-chicken-canned                              , Adult Wet Dog Food with Chicken                                                 , 337.4 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-zd-mini-original-dry                                        , z/d Mini Food Sensitivities Dry Dog Food Original Bag                           , 3534 kcal/kg (353 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-id-sensitive-dry                                            , i/d Sensitive Dog Food                                                          , 3904 kcal/kg (390 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-id-turkey-canned                                            , i/d Digestive Care Wet Dog Food with Turkey Can                                 , "366.5 kcal (360 g) can , 203.6 kcal (200 g) can"
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-id-low-fat-canned                                           , i/d Low Fat Digestive Care Wet Dog Food Original Can                            , "341.6 kcal (360 g) can , 189.8 kcal (200 g) can"
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-metabolic-original-canned                                   , Metabolic Weight Loss & Maintenance Wet Dog Food with Chicken Can               , "294.1 kcal (370 g) can , 162.2 kcal (200 g) can"
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-mini-light-with-chicken-dry                  , Light Mature Adult Small & Mini Mini Breed Dry Dog Food with Chicken            , 3128 kcal/kg (313 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-kd-plus-mobility-original-dry                               , k/d + Mobility Dog Food                                                         , 4022 kcal/kg (402 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-perfect-weight-medium-dry                                  , Perfect Weight Adult Medium Breed Dry Dog Food with Chicken                     , 3166 kcal/kg (317 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-healthy-mobility-medium-with-chicken-dry                   , Healthy Mobility Adult Medium Breed Dry Dog Food with Chicken                   , 3681 kcal/kg (368 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-wd-canned                                                   , w/d Wet Dog Food with Chicken                                                   , 317.8 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/ve-canine-vetessentials-senior-mature-adult-medium-large-dog-food-chicken-dry           , Multi-Benefit + Senior Health Mature Adult Medium & Large Dry Dog Food          , 3617 kcal/kg (362 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-ud-canned                                                   , u/d Wet Dog Food Original                                                       , 553 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-wd-chicken-dry                                              , w/d Dry Dog Food with Chicken                                                   , 3176 kcal/kg (318 kcal/100g)
https://www.hillspet.co.uk/dog-food/pd-jd-canine-reduced-calorie-with-chicken-dry                                           , j/d Reduced Calorie Dry Dog Food                                                , 3410 kcal/kg (341 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-adult-perfect-digestion-large-breed-chicken-brown-rice-dry                    , Perfect Digestion Adult Large Breed Dry Dog Food Chicken & Brown Rice           , 3524 kcal/kg (352 kcal/100g)
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-puppy-medium-savoury-chicken-canned                              , Puppy Wet Dog Food with Chicken                                                 , 367.5 kcal (370 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-puppy-derm-complete-dry                                                       , Derm Complete Puppy Dry Dog Food Original                                       , 3720 kcal/kg (372 kcal/100g)
https://www.hillspet.co.uk/dog-food/ve-canine-adult-with-tender-chicken-vegetables-canned                                   , Multi-Benefit Adult Wet Dog Food                                                , 292 kcal (363 g) can
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-zd-ultra-allergen-free-dry                                  , z/d Food Sensitivities Dry Dog Food Original Bag                                , 3534 kcal/kg (353 kcal/100g)
